"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200043321","MOY","Q4","MOY"
"200043354","MOY","Q2","FAV"
"200043396","DEGP","Q5","DEGP"
"200043404","DEGP","Q5","DEGP"
"200043438","FAVP","Q4","MOY"
"200043495","DEGP","Q1","MOY"
"200043602","DEG","Q2","MOY"
"200043628","FAVP","Q4","MOY"
"200043693","DEG","Q5","DEG"
"200043776","DEGP","Q5","DEG"
"200043974","MOY","Q3","MOY"
"200043982","DEG","Q5","DEG"
"200043990","FAVP","Q3","MOY"
"200044014","MOY","Q1","FAV"
"200044030","DEG","Q5","DEGP"
"200044048","MOY","Q5","MOY"
"200044253","DEGP","Q5","DEG"
"200044394","DEG","Q4","DEG"
"200044469","DEGP","Q5","MOY"
"200044618","DEGP","Q4","DEGP"
"200044691","DEGP","Q1","DEGP"
"200046977","MOY","Q1","MOY"
"200048551","FAV","Q2","DEGP"
"200049187","DEG","Q3","DEG"
"200049211","DEGP","Q2","MOY"
"200049484","DEG","Q5","DEGP"
"200054807","MOY","Q2","MOY"
"200055481","FAV","Q2","MOY"
"200055655","MOY","Q2","DEGP"
"200055887","FAV","Q2","FAVP"
"200056232","FAVP","Q1","MOY"
"200056380","FAVP","Q1","DEGP"
"200057859","FAV","Q1","DEGP"
"200057867","DEGP","Q2","DEGP"
"200057875","DEG","Q1","MOY"
"200057941","FAVP","Q1","FAVP"
"200057958","FAV","Q1","DEG"
"200057966","FAVP","Q1","FAVP"
"200057974","FAVP","Q1","FAVP"
"200057982","FAVP","Q1","FAVP"
"200057990","MOY","Q1","MOY"
"200058006","FAV","Q1","DEG"
"200058014","FAV","Q1","MOY"
"200058097","DEG","Q3","DEGP"
"200058360","FAVP","Q1","DEGP"
"200058477","FAV","Q1","DEGP"
"200058485","FAV","Q1","DEGP"
"200058519","FAVP","Q1","MOY"
"200058782","FAV","Q1","MOY"
"200058790","MOY","Q1","DEG"
"200059228","MOY","Q1","DEGP"
"200059392","FAV","Q4","MOY"
"200059400","MOY","Q2","MOY"
"200059889","MOY","Q2","DEGP"
"200060010","FAV","Q4","MOY"
"200065563","FAV","Q1","MOY"
"200065589","FAV","Q3","MOY"
"200065597","MOY","Q1","MOY"
"200065647","DEG","Q5","DEG"
"200065787","DEG","Q4","MOY"
"200065886","FAV","Q4","MOY"
"200065894","FAV","Q4","MOY"
"200065928","MOY","Q2","FAVP"
"200066009","DEG","Q4","DEG"
"200066017","MOY","Q4","DEG"
"200066025","FAV","Q4","MOY"
"200066033","FAV","Q4","MOY"
"200066041","FAV","Q5","DEG"
"200066058","FAV","Q5","FAV"
"200066108","DEG","Q5","MOY"
"200066116","DEG","Q3","DEG"
"200066124","MOY","Q4","MOY"
"200066132","DEGP","Q5","MOY"
"200066140","FAV","Q3","DEG"
"200066157","DEG","Q5","DEG"
"200066165","FAV","Q5","MOY"
"200066173","MOY","Q5","DEGP"
"200066223","DEG","Q2","MOY"
"200066231","DEG","Q5","DEG"
"200066280","MOY","Q2","DEGP"
"200066322","DEGP","Q5","DEG"
"200066330","FAVP","Q1","MOY"
"200066348","DEGP","Q3","MOY"
"200066355","DEG","Q3","MOY"
"200066363","DEG","Q3","FAVP"
"200066371","MOY","Q1","MOY"
"200066389","FAV","Q1","FAVP"
"200066405","FAVP","Q3","MOY"
"200066413","MOY","Q4","MOY"
"200066462","MOY","Q3","DEGP"
"200066512","FAV","Q2","MOY"
"200066520","MOY","Q4","DEG"
"200066553","DEG","Q5","DEG"
"200066561","MOY","Q5","DEG"
"200066587","FAVP","Q3","DEG"
"200066603","FAV","Q1","MOY"
"200066637","FAV","Q2","FAVP"
"200066645","MOY","Q1","DEGP"
"200066652","MOY","Q4","MOY"
"200066660","FAV","Q2","FAVP"
"200066678","FAV","Q3","MOY"
"200066710","FAV","Q3","MOY"
"200066728","FAVP","Q1","MOY"
"200066744","FAV","Q1","DEG"
"200066751","MOY","Q2","MOY"
"200066769","FAVP","Q1","MOY"
"200066777","MOY","Q2","MOY"
